AbsoluteTime,Year,Month,Day,Tmean,Tmin,Tmax
3155716800,2000,1,1,3.7,0.9,4.5
3155803200,2000,1,2,2.3,0.4,6.3
3155889600,2000,1,3,4.8,0.6,6.2
3155976000,2000,1,4,6.2,3.9,7
3156062400,2000,1,5,3,0.2,7.1
3156148800,2000,1,6,3,-2,7.6
3156235200,2000,1,7,5.3,3.5,8.7
3156321600,2000,1,8,4.7,-1.1,7.8
3156408000,2000,1,9,4.4,3.9,5.9
3156494400,2000,1,10,1.8,0.8,4.3
3156580800,2000,1,11,-1.6,-2.4,1.5
3156667200,2000,1,12,-2.2,-5.6,1.3
3156753600,2000,1,13,-2.8,-5.9,-1
3156840000,2000,1,14,1.1,-2.8,2
3156926400,2000,1,15,1.1,0.7,2.1
3157012800,2000,1,16,1.7,-2.1,3
3157099200,2000,1,17,7,3,7.9
3157185600,2000,1,18,3.8,2.5,8.2
3157272000,2000,1,19,0.4,-0.6,3.2
3157358400,2000,1,20,3.4,-3.1,4
3157444800,2000,1,21,1.4,-1,5
3157531200,2000,1,22,1.8,-0.9,3.7
3157617600,2000,1,23,-5.3,-7.8,1.4
3157704000,2000,1,24,-6.3,-10.4,-3.3
3157790400,2000,1,25,-7.1,-11.6,-2.6
3157876800,2000,1,26,-0.2,-8.2,2.1
3157963200,2000,1,27,1.9,1.6,2.4
3158049600,2000,1,28,2.4,-1.5,4.9
3158136000,2000,1,29,7.6,3.2,9.5
3158222400,2000,1,30,6.3,5.5,9.6
3158308800,2000,1,31,9.4,5.6,12.2
3158395200,2000,2,1,7.4,5.8,10.3
3158481600,2000,2,2,7.5,5.5,10.2
3158568000,2000,2,3,5.4,4,7.5
3158654400,2000,2,4,6,1.3,9
3158740800,2000,2,5,10,6.8,14.7
3158827200,2000,2,6,9.3,6.8,12.8
3158913600,2000,2,7,8.8,6.5,11.8
3159000000,2000,2,8,11.1,7.5,13
3159086400,2000,2,9,5.3,3,12.5
3159172800,2000,2,10,8.5,5.3,10
3159259200,2000,2,11,3.1,0.9,9.5
3159345600,2000,2,12,3.2,-3,7.6
3159432000,2000,2,13,2.4,1,7.7
3159518400,2000,2,14,3.2,1,6
3159604800,2000,2,15,6.3,1.7,9.5
3159691200,2000,2,16,2.8,0.3,7.3
3159777600,2000,2,17,1.3,-0.2,4
